date,value
2022-05-01,5
2022-05-02,11
2022-05-03,6
2022-05-04,11
2022-05-05,11
2022-05-06,12
2022-05-07,5
2022-05-08,0
2022-05-09,11
2022-05-10,11
2022-05-11,0
2022-05-12,12
2022-05-13,6
2022-05-14,6
2022-05-15,25
2022-05-16,0
2022-05-17,6
2022-05-18,19
2022-05-19,12
2022-05-20,25
2022-05-21,19
2022-05-22,24
2022-05-23,12
2022-05-24,25
2022-05-25,0
2022-05-26,24
2022-05-27,6
2022-05-28,13
2022-05-29,6
2022-05-30,12
2022-05-31,12
2022-06-01,6
2022-06-02,19
2022-06-03,25
2022-06-04,6
2022-06-05,18
2022-06-06,12
2022-06-07,12
2022-06-08,6
2022-06-09,6
2022-06-10,12
2022-06-11,12
2022-06-12,6
2022-06-13,12
2022-06-14,0
2022-06-15,6
2022-06-16,6
2022-06-17,6
2022-06-18,12
2022-06-19,12
2022-06-20,6
2022-06-21,18
2022-06-22,6
2022-06-23,6
2022-06-24,25
2022-06-25,0
2022-06-26,25
2022-06-27,6
2022-06-28,0
2022-06-29,0
2022-06-30,0
2022-07-01,0
2022-07-02,6
2022-07-03,18
2022-07-04,6
2022-07-05,6
2022-07-06,6
2022-07-07,0
2022-07-08,100
2022-07-09,37
2022-07-10,30
2022-07-11,36
2022-07-12,24
2022-07-13,42
2022-07-14,18
2022-07-15,0
2022-07-16,0
2022-07-17,24
2022-07-18,12
2022-07-19,24
