year,gender,lost_gen_min,lost_gen_max,babyboomers_min,babyboomers_max,age,population,lost_gen,babyboomers,generation
1950,M,-32,-21,-1,5,0,1244.4375,False,True,Babyboomers
1951,M,-31,-20,0,6,0,1094.8555,False,True,Babyboomers
1952,M,-30,-19,1,7,0,1011.0925,False,False,other
1953,M,-29,-18,2,8,0,947.382,False,False,other
1954,M,-28,-17,3,9,0,895.168,False,False,other
1955,M,-27,-16,4,10,0,868.3875,False,False,other
1956,M,-26,-15,5,11,0,844.0145,False,False,other
1957,M,-25,-14,6,12,0,804.354,False,False,other
1958,M,-24,-13,7,13,0,803.142,False,False,other
1959,M,-23,-12,8,14,0,820.0155,False,False,other
1960,M,-22,-11,9,15,0,813.6005,False,False,other
1961,M,-21,-10,10,16,0,811.56,False,False,other
1962,M,-20,-9,11,17,0,819.1745,False,False,other
1963,M,-19,-8,12,18,0,838.3055,False,False,other
1964,M,-18,-7,13,19,0,865.5075,False,False,other
1965,M,-17,-6,14,20,0,901.627,False,False,other
1966,M,-16,-5,15,21,0,819.7675,False,False,other
1967,M,-15,-4,16,22,0,840.3635,False,False,other
1968,M,-14,-3,17,23,0,954.5915,False,False,other
1969,M,-13,-2,18,24,0,948.7775,False,False,other
1970,M,-12,-1,19,25,0,965.592,False,False,other
1971,M,-11,0,20,26,0,993.883,True,False,Lost generation
1972,M,-10,1,21,27,0,1022.728,True,False,Lost generation
1973,M,-9,2,22,28,0,1052.376,True,False,Lost generation
1974,M,-8,3,23,29,0,1052.5425,True,False,Lost generation
1975,M,-7,4,24,30,0,1007.93,True,False,Lost generation
1976,M,-6,5,25,31,0,955.2,True,False,Lost generation
1977,M,-5,6,26,32,0,912.072,True,False,Lost generation
1978,M,-4,7,27,33,0,877.8715,True,False,Lost generation
1979,M,-3,8,28,34,0,845.576,True,False,Lost generation
1980,M,-2,9,29,35,0,812.4,True,False,Lost generation
1981,M,-1,10,30,36,0,776.393,True,False,Lost generation
1982,M,0,11,31,37,0,748.8375,True,False,Lost generation
1983,M,1,12,32,38,0,740.6085,False,False,other
1984,M,2,13,33,39,0,734.126,False,False,other
1985,M,3,14,34,40,0,720.857,False,False,other
1986,M,4,15,35,41,0,696.685,False,False,other
