age,generation,population_in_thousands,population
0,other,708.2370000000001,708237.0000000001
1,other,718.3195000000001,718319.5000000001
2,other,728.9480000000001,728948.0000000001
3,other,739.8275,739827.5
4,other,749.5705,749570.5
5,other,758.972,758972.0
6,other,767.4095,767409.5
7,other,776.575,776575.0
8,other,786.122,786122.0
9,other,792.6425,792642.5
10,other,797.6345,797634.5
11,other,801.4625000000001,801462.5000000001
12,other,804.8595,804859.5
13,other,808.876,808876.0
14,other,814.0285,814028.5
15,other,819.9195,819919.5
16,other,823.99,823990.0
17,other,826.636,826636.0
18,other,830.1575,830157.5
19,other,834.177,834177.0
20,other,838.1034999999999,838103.4999999999
21,other,841.9745,841974.5
22,other,845.992,845992.0
23,other,849.2275,849227.5
24,other,850.615,850615.0
25,other,854.9665,854966.5
26,other,859.816,859816.0
27,other,862.847,862847.0
28,other,868.3585,868358.5
29,other,877.639,877639.0
30,other,881.271,881271.0
31,other,898.8810000000001,898881.0000000001
32,other,933.1714999999999,933171.4999999999
33,other,983.8295,983829.5
34,other,1036.0495,1036049.5000000001
35,other,1055.2495,1055249.5
36,other,1070.441,1070441.0
37,other,1085.6754999999998,1085675.4999999998
38,other,1093.362,1093362.0
39,other,1111.1864999999998,1111186.4999999998
40,other,1129.3020000000001,1129302.0000000002
41,other,1144.2845,1144284.5
42,other,1154.694,1154694.0
43,other,1155.6599999999999,1155659.9999999998
44,other,1148.086,1148086.0
45,other,1154.4455,1154445.5
46,other,1177.2075,1177207.5
47,other,1200.13,1200130.0
48,other,1222.5555,1222555.5
49,other,1244.809,1244809.0
50,other,1248.273,1248273.0
51,other,1244.7955,1244795.5
52,other,1248.458,1248458.0
53,other,1246.3485,1246348.5
54,other,1235.852,1235852.0
55,other,1240.1154999999999,1240115.5
56,other,1234.1875,1234187.5
57,other,1215.1305,1215130.5
58,other,1223.5615,1223561.5
59,other,1224.505,1224505.0
60,other,1232.0324999999998,1232032.4999999998
61,other,1264.188,1264188.0
62,other,1289.397,1289397.0
63,other,1289.7245,1289724.5
64,other,1307.4205000000002,1307420.5000000002
65,other,1340.794,1340794.0
66,other,1355.8960000000002,1355896.0000000002
67,other,1358.37,1358370.0
68,Lost generation,1359.824,1359824.0
69,Lost generation,1391.3110000000001,1391311.0000000002
70,Lost generation,1439.156,1439156.0
71,Lost generation,1482.0855000000001,1482085.5000000002
72,Lost generation,1521.8885,1521888.5
73,Lost generation,1561.683,1561683.0
74,Lost generation,1613.558,1613558.0
75,Lost generation,1678.7205,1678720.5
76,Lost generation,1727.7375000000002,1727737.5000000002
77,Lost generation,1699.932,1699932.0
78,Lost generation,1619.1845,1619184.5
79,Lost generation,1538.905,1538905.0
80,other,1466.0115,1466011.5
81,other,1412.6765,1412676.5
82,other,1391.618,1391618.0
83,other,1188.9475000000002,1188947.5000000002
84,other,1094.188,1094188.0
85,other,1152.098,1152098.0
86,other,1063.806,1063806.0
87,other,968.5450000000001,968545.0000000001
88,other,881.6605,881660.5
89,other,806.128,806128.0
90,other,737.6575,737657.5
91,other,670.514,670514.0
92,other,584.5155,584515.5
93,other,510.0125,510012.5
94,other,457.4955,457495.5
95,other,392.7395,392739.5
96,other,328.714,328714.0
97,other,276.5285,276528.5
98,other,228.954,228954.0
99,Babyboomers,185.1745,185174.5
100,Babyboomers,435.14250000000004,435142.50000000006
