year,age,Babyboomers,Lost generation,other
2050,0,0.0,0.0,725.402
2050,1,0.0,0.0,735.675
2050,2,0.0,0.0,746.517
2050,3,0.0,0.0,757.661
2050,4,0.0,0.0,767.63
2050,5,0.0,0.0,777.273
2050,6,0.0,0.0,785.927
2050,7,0.0,0.0,795.303
2050,8,0.0,0.0,805.074
2050,9,0.0,0.0,811.729
2050,10,0.0,0.0,816.841
2050,11,0.0,0.0,820.73
2050,12,0.0,0.0,824.171
2050,13,0.0,0.0,828.23
2050,14,0.0,0.0,833.41
2050,15,0.0,0.0,839.348
2050,16,0.0,0.0,843.378
2050,17,0.0,0.0,845.873
2050,18,0.0,0.0,849.258
2050,19,0.0,0.0,853.168
2050,20,0.0,0.0,856.941
2050,21,0.0,0.0,860.623
2050,22,0.0,0.0,864.445
2050,23,0.0,0.0,867.453
2050,24,0.0,0.0,868.579
2050,25,0.0,0.0,872.799
2050,26,0.0,0.0,877.583
2050,27,0.0,0.0,880.553
2050,28,0.0,0.0,886.043
2050,29,0.0,0.0,895.4
2050,30,0.0,0.0,897.903
2050,31,0.0,0.0,914.277
2050,32,0.0,0.0,948.838
2050,33,0.0,0.0,1000.898
2050,34,0.0,0.0,1054.994
2050,35,0.0,0.0,1075.078
2050,36,0.0,0.0,1089.69
2050,37,0.0,0.0,1104.425
2050,38,0.0,0.0,1112.846
2050,39,0.0,0.0,1132.023
2050,40,0.0,0.0,1150.214
2050,41,0.0,0.0,1164.197
2050,42,0.0,0.0,1174.696
2050,43,0.0,0.0,1175.318
2050,44,0.0,0.0,1167.098
2050,45,0.0,0.0,1174.152
2050,46,0.0,0.0,1198.128
2050,47,0.0,0.0,1222.041
2050,48,0.0,0.0,1244.301
2050,49,0.0,0.0,1266.854
2050,50,0.0,0.0,1270.543
2050,51,0.0,0.0,1265.745
2050,52,0.0,0.0,1267.581
2050,53,0.0,0.0,1264.49
2050,54,0.0,0.0,1253.351
2050,55,0.0,0.0,1258.573
2050,56,0.0,0.0,1254.223
2050,57,0.0,0.0,1235.572
2050,58,0.0,0.0,1244.458
2050,59,0.0,0.0,1242.113
2050,60,0.0,0.0,1245.416
2050,61,0.0,0.0,1274.977
2050,62,0.0,0.0,1298.14
2050,63,0.0,0.0,1296.037
2050,64,0.0,0.0,1310.016
2050,65,0.0,0.0,1338.361
2050,66,0.0,0.0,1347.873
2050,67,0.0,0.0,1344.511
2050,68,0.0,1340.818,0.0
2050,69,0.0,1368.508,0.0
2050,70,0.0,1411.321,0.0
2050,71,0.0,1447.824,0.0
2050,72,0.0,1480.24,0.0
2050,73,0.0,1511.958,0.0
2050,74,0.0,1552.763,0.0
2050,75,0.0,1605.086,0.0
2050,76,0.0,1641.726,0.0
2050,77,0.0,1603.666,0.0
2050,78,0.0,1514.852,0.0
2050,79,0.0,1425.492,0.0
2050,80,0.0,0.0,1342.851
2050,81,0.0,0.0,1279.912
2050,82,0.0,0.0,1244.407
2050,83,0.0,0.0,1048.851
2050,84,0.0,0.0,950.705
2050,85,0.0,0.0,982.496
2050,86,0.0,0.0,888.712
2050,87,0.0,0.0,788.86
2050,88,0.0,0.0,698.004
2050,89,0.0,0.0,618.666
2050,90,0.0,0.0,546.974
2050,91,0.0,0.0,478.339
2050,92,0.0,0.0,399.727
2050,93,0.0,0.0,333.226
2050,94,0.0,0.0,283.918
2050,95,0.0,0.0,230.518
2050,96,0.0,0.0,181.553
2050,97,0.0,0.0,143.145
2050,98,0.0,0.0,110.677
2050,99,83.659,0.0,0.0
2050,100,166.372,0.0,0.0
